Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2
19810101	0.002	0.002	0.0	-1.0	0.03	0.03	0.0	0.00	120.0	0.0	0.0	0.2	0.000	0.000	0.002
19810102	0.002	0.005	0.0	-3.6	0.03	0.03	0.0	0.00	119.9	0.0	0.0	0.2	0.000	0.000	0.002
19810103	0.002	0.005	0.2	-8.0	0.02	0.02	0.2	1.00	119.9	0.0	0.0	0.2	0.000	0.000	0.002
19810104	0.002	0.005	0.1	-10.3	0.00	0.01	0.3	1.00	119.9	0.0	0.0	0.2	0.000	0.000	0.002
19810105	0.002	0.005	0.0	-15.0	0.00	0.00	0.3	1.00	119.9	0.0	0.0	0.2	0.000	0.000	0.002
19810106	0.002	0.004	0.0	-17.6	0.00	0.00	0.3	1.00	119.9	0.0	0.0	0.2	0.000	0.000	0.002
19810107	0.002	0.004	0.0	-12.8	0.00	0.00	0.3	1.00	119.9	0.0	0.0	0.2	0.000	0.000	0.002
19810108	0.002	0.004	1.2	-4.7	0.00	0.04	1.5	1.00	119.9	0.0	0.0	0.2	0.000	0.000	0.002
19810109	0.231	0.018	1.7	3.0	0.00	0.07	0.0	0.00	119.9	3.2	2.0	1.2	0.000	0.220	0.012
19810110	0.119	0.040	0.0	-3.4	0.04	0.04	0.0	0.00	119.9	0.0	0.9	2.2	0.000	0.098	0.022
19810111	0.030	0.034	0.0	-5.1	0.04	0.04	0.0	0.00	119.8	0.0	0.0	3.0	0.000	0.000	0.030
19810112	0.050	0.035	1.1	1.3	0.07	0.07	0.0	0.00	119.8	1.1	0.1	4.0	0.000	0.010	0.040
19810113	0.040	0.041	0.0	-4.8	0.04	0.04	0.0	0.00	119.7	0.0	0.0	4.0	0.000	0.000	0.040
19810114	0.040	0.041	11.3	-5.1	0.04	0.04	11.3	1.00	119.7	0.0	0.0	4.0	0.000	0.000	0.040
19810115	0.040	0.040	4.4	-1.2	0.00	0.06	15.7	1.00	119.7	0.0	0.0	3.9	0.000	0.000	0.040
19810116	0.039	0.038	1.4	-4.1	0.00	0.05	17.1	1.00	119.7	0.0	0.0	3.9	0.000	0.000	0.039
19810117	0.039	0.037	1.3	-6.2	0.00	0.04	18.4	1.00	119.7	0.0	0.0	3.8	0.000	0.000	0.039
19810118	0.038	0.036	0.2	-10.2	0.00	0.02	18.6	1.00	119.7	0.0	0.0	3.8	0.000	0.000	0.038
19810119	0.038	0.035	0.0	-12.3	0.00	0.01	18.6	1.00	119.7	0.0	0.0	3.8	0.000	0.000	0.038
19810120	0.038	0.034	0.0	-17.7	0.00	0.00	18.6	1.00	119.7	0.0	0.0	3.7	0.000	0.000	0.038
19810121	0.037	0.033	1.7	-7.1	0.00	0.05	20.3	1.00	119.7	0.0	0.0	3.7	0.000	0.000	0.037
19810122	0.037	0.074	1.3	0.1	0.00	0.10	21.6	1.00	119.7	0.0	0.0	3.7	0.000	0.000	0.037
19810123	0.037	0.139	0.0	-2.0	0.00	0.09	21.6	1.00	119.7	0.0	0.0	3.6	0.000	0.000	0.037
19810124	0.487	0.229	0.0	2.8	0.00	0.13	16.2	1.00	119.7	5.4	4.0	4.6	0.000	0.440	0.046
19810125	0.352	0.418	1.0	-0.2	0.00	0.11	17.2	1.00	119.7	0.0	2.7	5.5	0.000	0.296	0.056
19810126	0.232	0.405	0.0	-4.7	0.00	0.08	17.2	1.00	119.7	0.0	1.5	6.5	0.000	0.167	0.065
19810127	0.125	0.346	0.0	-3.2	0.00	0.09	17.2	1.00	119.7	0.0	0.4	7.4	0.000	0.050	0.075
19810128	0.078	0.290	0.0	-2.2	0.00	0.11	17.2	1.00	119.7	0.0	0.0	7.8	0.000	0.000	0.078
19810129	0.083	0.241	0.2	0.7	0.00	0.13	16.9	1.00	119.7	0.5	0.0	8.2	0.000	0.000	0.083
19810130	0.693	0.204	0.0	3.2	0.00	0.16	9.8	1.00	119.7	7.0	5.4	9.1	0.000	0.601	0.092
19810131	1.428	0.184	0.1	4.0	0.00	0.18	1.0	1.00	119.8	8.9	11.9	10.0	0.000	1.327	0.101
19810201	1.306	0.177	0.0	5.4	0.00	0.19	0.0	0.00	119.8	1.0	10.8	10.9	0.000	1.196	0.110
19810202	1.096	0.172	0.0	4.0	0.19	0.19	0.0	0.00	119.6	0.0	8.8	11.8	0.000	0.977	0.119
19810203	0.907	0.167	0.0	0.6	0.16	0.16	0.0	0.00	119.4	0.0	7.0	12.6	0.000	0.779	0.128
19810204	0.738	0.199	4.4	-0.9	0.14	0.14	4.4	1.00	119.3	0.0	5.4	13.5	0.000	0.601	0.136
19810205	0.586	0.250	0.0	-3.3	0.00	0.12	4.4	1.00	119.3	0.0	4.0	14.3	0.000	0.441	0.145
19810206	0.450	0.221	7.7	-3.5	0.00	0.12	12.1	1.00	119.3	0.0	2.7	15.2	0.000	0.297	0.153
19810207	0.329	0.272	3.5	-0.2	0.00	0.16	15.6	1.00	119.3	0.0	1.5	16.0	0.000	0.167	0.162
19810208	0.304	0.414	0.2	1.0	0.00	0.18	15.0	1.00	119.3	0.8	1.2	16.9	0.000	0.134	0.170
19810209	0.199	0.436	0.0	-2.2	0.00	0.15	15.0	1.00	119.3	0.0	0.2	17.7	0.000	0.020	0.179
19810210	0.179	0.385	0.0	-8.6	0.00	0.07	15.0	1.00	119.3	0.0	0.0	17.7	0.000	0.000	0.179
19810211	0.177	0.332	0.0	-3.8	0.00	0.13	15.0	1.00	119.3	0.0	0.0	17.5	0.000	0.000	0.177
19810212	0.175	0.290	0.7	-3.2	0.00	0.14	15.7	1.00	119.3	0.0	0.0	17.3	0.000	0.000	0.175
19810213	0.173	0.269	1.1	-4.6	0.00	0.13	16.8	1.00	119.3	0.0	0.0	17.2	0.000	0.000	0.173
19810214	0.172	0.260	0.5	-4.0	0.00	0.14	17.3	1.00	119.3	0.0	0.0	17.0	0.000	0.000	0.172
19810215	0.170	0.252	0.0	-5.1	0.00	0.13	17.3	1.00	119.3	0.0	0.0	16.8	0.000	0.000	0.170
19810216	0.168	0.245	0.0	-4.4	0.00	0.15	17.3	1.00	119.3	0.0	0.0	16.6	0.000	0.000	0.168
19810217	0.166	0.237	0.0	-2.4	0.00	0.19	17.3	1.00	119.3	0.0	0.0	16.5	0.000	0.000	0.166
